"Date","Price","Open","High","Low","Change %"
"07/14/1989","8.023","8.023","8.023","8.023","0.33%"
"07/13/1989","7.997","7.997","7.997","7.997","0.05%"
"07/12/1989","7.993","7.993","7.993","7.993","0.00%"
"07/11/1989","7.993","7.993","7.993","7.993","0.11%"
"07/10/1989","7.984","7.984","7.984","7.984","-0.51%"
"07/07/1989","8.025","8.025","8.025","8.025","-0.56%"
"07/06/1989","8.070","8.070","8.070","8.070","-0.54%"
"07/05/1989","8.114","8.114","8.114","8.114","0.27%"
"07/03/1989","8.092","8.092","8.092","8.092","-0.06%"
"06/30/1989","8.097","8.097","8.097","8.097","-0.21%"
"06/29/1989","8.114","8.114","8.114","8.114","-0.73%"
"06/28/1989","8.174","8.174","8.174","8.174","0.76%"
"06/27/1989","8.112","8.112","8.112","8.112","-0.82%"
"06/26/1989","8.179","8.179","8.179","8.179","-0.82%"
"06/23/1989","8.247","8.247","8.247","8.247","-1.58%"
"06/22/1989","8.379","8.379","8.379","8.379","0.38%"
"06/21/1989","8.347","8.347","8.347","8.347","0.54%"
"06/20/1989","8.302","8.302","8.302","8.302","-0.77%"
"06/19/1989","8.366","8.366","8.366","8.366","0.22%"
"06/16/1989","8.348","8.348","8.348","8.348","0.28%"
"06/15/1989","8.325","8.325","8.325","8.325","1.59%"
"06/14/1989","8.195","8.195","8.195","8.195","-0.65%"
"06/13/1989","8.249","8.249","8.249","8.249","1.10%"
"06/12/1989","8.159","8.159","8.159","8.159","0.21%"
"06/09/1989","8.142","8.142","8.142","8.142","-1.52%"
"06/08/1989","8.268","8.268","8.268","8.268","-0.11%"
"06/07/1989","8.277","8.277","8.277","8.277","-0.92%"
"06/06/1989","8.354","8.354","8.354","8.354","-0.06%"
"06/05/1989","8.359","8.359","8.359","8.359","-0.81%"
"06/02/1989","8.427","8.427","8.427","8.427","-2.05%"
"06/01/1989","8.603","8.603","8.603","8.603","0.00%"
"05/31/1989","8.603","8.603","8.603","8.603","-0.32%"
"05/30/1989","8.631","8.631","8.631","8.631","-0.27%"
"05/26/1989","8.654","8.654","8.654","8.654","-0.12%"
"05/25/1989","8.664","8.664","8.664","8.664","0.49%"
